title,subtitle,url
Kaggle 進階技巧 (part2),Kaggle 進階技巧,https://drive.google.com/open?id=1DjDdh9VpJ4_A1nFmrpD5p4ZvOPQh7DQmblIdHXrjh5c
卷積神經網路 (part2),卷積神經網路與電腦視覺,https://drive.google.com/open?id=1Z1fs8EY_HwYvdfk1SD_cpDgPXp-R6nHtWQgN_9Fm_Is
卷積神經網路 (part4),卷積神經網路與電腦視覺,https://drive.google.com/open?id=163WWhZKdoxbeKSdnDgymLAQs0myNgR-OqewZLe_I9os
卷積神經網路 (part1),卷積神經網路與電腦視覺,https://drive.google.com/open?id=13IyS0UT7ksHIS7GsacadevLE_8UKaCQ3xCPGFqZ0OFE
卷積神經網路 (part3),卷積神經網路與電腦視覺,https://drive.google.com/open?id=1c2x_rdwZ2Q6B0hFPHSgzP9r860LlksjF0n6MZyu05HY
卷積神經網路 (part5),卷積神經網路與電腦視覺,https://drive.google.com/open?id=1DMk140LaI7CBpD4R9cENwS1qAalLLUA77DhuUfAfRA0
卷積神經網路 (part6),卷積神經網路與電腦視覺,https://drive.google.com/open?id=1s8Ql4osZHkTnR4n5_tBQe2LWOiT_6r5lZyNQLsOCaBM
專題說明,專題說明,https://docs.google.com/presentation/d/1MjOngdm1cvVZu0YmdIUCNoz1o-b6ZaafhQqC2_xPd6s/edit?usp=sharing
專題分享,瑕疵檢測,https://drive.google.com/open?id=1zUYAhBkyoqSEgr-DlXJtblK4uAlG2Zn8
卷積神經網路 (part7),卷積神經網路與電腦視覺,https://drive.google.com/open?id=1M4E7HgGTuQFSZ0ecKxj6Kcozqzw4oi-2od7zmjx7JAI
Kaggle 實戰,CNN_kaggle,https://drive.google.com/open?id=1ybAanQIOpztC6VunGD0_DTQYbX5Zy_gVN0GL_vGbP4I
專題演講,AI 在 HCI 中的應用,
Transfer Learning,Model Fine-tuning,https://drive.google.com/open?id=1qF2-8Uy0ZDG72IoZz-RNqpN_2qcvIBWb7OVq_9kQciY
期中考,期中考加油！,https://drive.google.com/open?id=1peCHdELpXO1Gq2ZqFbP9Cfhaz6Aoh4XbI7-p4LmHaRU
卷積神經網路與電腦視覺：綜合補充、總結與問答,總結與問答,https://drive.google.com/open?id=11VQBR_LyXDCoaOdlwPaPp4Nj32dyv00g
Transfer Learning,總結與問答,https://drive.google.com/open?id=1OMO3nyXV9SkXj0aKtMDggPucjbwWaJYC
期中考,期中考加油！,
遞歸神經網路,RNN part1-1,https://drive.google.com/open?id=1v0cQOYTB5yj86lk_Z9v0jfHg0UZgmAbF-2J9BRsZ7Hg
專題分組,專題分組結果說明,https://docs.google.com/presentation/d/1JI8l12qU1RWtoNBBuAH-pErbioVK42Mt1lIqztyv3zg/edit#slide=id.p1
遞歸神經網路,RNN part3,https://drive.google.com/open?id=185-_ShH5imR9Zq9jM2RYUQl88fClxx82OOea1ihGUs4
