airbnbId,title,star,price,url
listing_19915866,"Time 小時光 1-3人入住獨立乾溼分離衛浴､廚房.近車站,美術館.､花園夜市､安平古堡",4.64,$700 TWD,https://www.airbnb.com.tw/rooms/19915866
listing_5459426,Tainan Finn House 1-2人房 4F,4.93,$396 TWD,https://www.airbnb.com.tw/rooms/5459426
listing_22100138,《工業時代》套房近成大､離台南火車站騎車7min,4.76,$669 TWD,https://www.airbnb.com.tw/rooms/22100138
listing_30408488,Double bedroom in Tainan Center,4.95,$396 TWD,https://www.airbnb.com.tw/rooms/30408488
listing_22107910,《南洋渡假風》套房近成大､離台南火車站騎車7min,4.69,$791 TWD,https://www.airbnb.com.tw/rooms/22107910
listing_19691243,台南市安平區HJK 2~6人位置方便 旅遊度假的好地方,4.71,"$1,004 TWD",https://www.airbnb.com.tw/rooms/19691243
listing_34388243,J1 House 位市中心/正興街/鄰近國華街/海安路/保安路/神農街/超讚房東｢續住享優惠｣,4.95,$609 TWD,https://www.airbnb.com.tw/rooms/34388243
listing_8577115,"離火車站和兵工廠客運站步行10分鐘,到各景點都很便利(三樓外)",4.81,$487 TWD,https://www.airbnb.com.tw/rooms/8577115
listing_25256866,｡賀賀｡台南中西區市中心 鄰近藍晒圖 新光三越 正興街/國滑街 簡約套房,4.79,$882 TWD,https://www.airbnb.com.tw/rooms/25256866
listing_18678459,"海安路二段☆包層☆神農街/正興街/國華街/花園夜市,全新日式和風民宿 ,寬敞明亮,停車方便",4.69,"$1,491 TWD",https://www.airbnb.com.tw/rooms/18678459
listing_12077030,WeLOFT INN - Room B - Che,4.83,"$1,278 TWD",https://www.airbnb.com.tw/rooms/12077030
listing_31180760,《全新完工》南市正中西區赤崁樓日式雙人套房,4.64,$882 TWD,https://www.airbnb.com.tw/rooms/31180760
listing_22237937,No. 92 in House 設計師的生活小空間—3F 工業風 時尚灰  (獨立乾濕分離衛浴設備),4.84,$791 TWD,https://www.airbnb.com.tw/rooms/22237937
listing_27774570,《日式簡約》近成大､台南火車站騎車7mins•獨立套房•設計師全新手工**訂房前請詳閱說明事項**,4.90,$639 TWD,https://www.airbnb.com.tw/rooms/27774570
listing_17389571,台南市安平區-SYL apartment 1-2人 近各大景點,4.44,"$1,004 TWD",https://www.airbnb.com.tw/rooms/17389571
listing_10458741,/日浮公寓/ZooFu Guest House Single room,4.87,$396 TWD,https://www.airbnb.com.tw/rooms/10458741
listing_16874476,"火車站前成功套房,位於台南火車站,出前站,對面獨立門戶雙床大套房(可住1-4人) 鄰近康是美,屈臣氏",4.75,$578 TWD,https://www.airbnb.com.tw/rooms/16874476
listing_17191542,502 典雅雙人房 Single King Size Bed Room,4.87,$548 TWD,https://www.airbnb.com.tw/rooms/17191542
listing_19341871,{50步到赤嵌樓} 旺宅/木地板雙人套房/石精臼美食區/新美街/老宅白色小透天,4.92,"$1,004 TWD",https://www.airbnb.com.tw/rooms/19341871
listing_22142941,《北歐鄉村風》近成大､台南火車站騎車7mins•獨立套房•設計師全新手工**訂房前請詳閱說明事項**,4.95,$882 TWD,https://www.airbnb.com.tw/rooms/22142941
listing_24877376,東區小清新雙人雅房/旅遊規劃/火車站/南紡/大東/長榮/成大/海安路/國華街,4.82,$304 TWD,https://www.airbnb.com.tw/rooms/24877376
listing_23212551,"近孔廟､文學館､台南美術館~有陽台的溫馨雙人房,適合好友一起出遊",4.63,$487 TWD,https://www.airbnb.com.tw/rooms/23212551
listing_10686683,AJ House 1-2人入住 獨立衛浴(浴缸)廚房 近車站鄰孔廟商圈及林百貨､花園夜市､美術館,4.68,$304 TWD,https://www.airbnb.com.tw/rooms/10686683
listing_22107884,《世界探索屋》套房近成大､離台南火車站騎車7min,4.75,$791 TWD,https://www.airbnb.com.tw/rooms/22107884
listing_11609719,Tainan Finn House 2-4人房 3F,4.96,$578 TWD,https://www.airbnb.com.tw/rooms/11609719
listing_23010892,"樸宿-玖 Simple9 2-7人浴缸房,近車站.鄰孔廟商圈及林百貨.奇美博物館.安平,赤崁樓,夜市",4.35,$609 TWD,https://www.airbnb.com.tw/rooms/23010892
listing_23653491,便宜超值雙人房,4.60,$396 TWD,https://www.airbnb.com.tw/rooms/23653491
listing_12546973,J SPACE (2房2廳2衛)觀景大露台.鄰車站及林百貨.孔廟商圈.赤崁樓.安平老街.台江綠色隧道,4.72,"$2,008 TWD",https://www.airbnb.com.tw/rooms/12546973
listing_14055407,"樂居赤嵌 A.E.Tainan 透天3F一層一間｡新屋落成,(附停車位)",4.94,"$1,065 TWD",https://www.airbnb.com.tw/rooms/14055407
listing_21052755,VNHouse咖啡雙人雅房 免費停車位需提前預訂 近台南火車站12分鐘/國華街/花園夜市/安平古堡,4.78,$761 TWD,https://www.airbnb.com.tw/rooms/21052755
listing_24195433,市中心-觀景大空間 鄰近火車站､各大景點､夜市､古蹟老街､海安路､正興街､國華商圈､新天地､美術館,4.87,$669 TWD,https://www.airbnb.com.tw/rooms/24195433
listing_11070766,樸｡肆巷 Simple life Room 4F,4.88,"$1,187 TWD",https://www.airbnb.com.tw/rooms/11070766
listing_23618165,EZ INN 近車站.電梯獨立衛浴､鄰孔廟商圈及林百貨､赤崁樓､夜市､安平老街､奇美博物館､台江隧道,4.51,$487 TWD,https://www.airbnb.com.tw/rooms/23618165
listing_18617542,"Green Life 2~6人入住､獨立房源低樓層健身寓,三房二廳,近赤崁樓.國華美食街.美術館",4.55,"$1,217 TWD",https://www.airbnb.com.tw/rooms/18617542
listing_22285005,"**壹號柒樓 ** 市中心電梯民宿,走路就到美術館,慢活 台南 2-3人房,近火車站.赤崁樓.國華街",4.59,$913 TWD,https://www.airbnb.com.tw/rooms/22285005
listing_9801703,台南東區獨立小宅,4.82,"$1,187 TWD",https://www.airbnb.com.tw/rooms/9801703
listing_22311347,"離火車站和客運站步行10分鐘,位於赤崁樓,屈臣氏附近,到各景點都很便利(三樓內)",4.81,$456 TWD,https://www.airbnb.com.tw/rooms/22311347
listing_23010011,"樸宿-捌 Simple8 2-5人,電梯房,近車站.鄰孔廟商圈及林百貨.奇美博物館､夜市,赤崁樓",4.58,$609 TWD,https://www.airbnb.com.tw/rooms/23010011
listing_33946299,【北歐風 Hugo house】全新木質清新臥室/台南市東區精華地段/免費健身房/超值首選,4.97,$487 TWD,https://www.airbnb.com.tw/rooms/33946299
listing_23263549,{50步到赤嵌樓} 小巷旺宅/合法民宿/榻榻米小空間雅房/石精臼美食區/老宅白色小透天,4.89,$974 TWD,https://www.airbnb.com.tw/rooms/23263549
listing_1019511,"A02步行阿明豬心､阿堂鹹粥､六千牛肉(依人頭計費,1位跟2位價錢不同,人數確實填寫)",4.57,$730 TWD,https://www.airbnb.com.tw/rooms/1019511
listing_32252084,Homecoming  1-2人 近車站.鄰孔廟商圈及林百貨.台南美術館.安平古堡.大東夜市.花園,4.86,$426 TWD,https://www.airbnb.com.tw/rooms/32252084
listing_14053550,"樂居赤嵌 A.E.Tainan 透天2F一層一間｡新屋落成,限時優惠(陽台附設洗衣機)",4.98,"$1,065 TWD",https://www.airbnb.com.tw/rooms/14053550
listing_21050629,VNHOUSE粉紅仙人掌陽台雅房 免費停車位需提前預訂 近台南火車站12分鐘/藍曬圖/花園夜市/神農,4.85,$761 TWD,https://www.airbnb.com.tw/rooms/21050629
listing_14852685,"小巷窄(吃貨專用1~3人平價包棟)近國華街,神農街,正興街,花園夜市",4.94,"$1,308 TWD",https://www.airbnb.com.tw/rooms/14852685
listing_19666790,台南 歡迎你,4.90,"$1,187 TWD",https://www.airbnb.com.tw/rooms/19666790
listing_32125321,散步孔廟 美術館 愜意 ☆兩人包棟☆Surrounded with historical sites,4.91,"$1,461 TWD",https://www.airbnb.com.tw/rooms/32125321
listing_19171395,"台南中西區黃金地段,步行前往各景點(90年老屋改造),1-4人,2人即可包棟",4.54,$639 TWD,https://www.airbnb.com.tw/rooms/19171395
listing_12595649,赤崁樓/咖啡旅宿/清新溫暖老件木作陽光房/文學館/新美街/國華街走路皆可到,4.92,"$2,404 TWD",https://www.airbnb.com.tw/rooms/12595649
listing_18231128,"台南民宿,公園吉光~洛夫特‧美國(LOFT‧US)",4.89,"$1,278 TWD",https://www.airbnb.com.tw/rooms/18231128
listing_16282661,壹伍參號房-2號房Room2 加大雙人床､電梯､近火車站､安静清潔､舒服淋浴､赤崁樓､吳園,4.75,$852 TWD,https://www.airbnb.com.tw/rooms/16282661
